[ 00:00:06.471 -->  00:00:09.981] A SPEAKER_00
[ 00:00:10.589 -->  00:00:33.370] B SPEAKER_00
[ 00:00:35.108 -->  00:00:35.530] C SPEAKER_00
[ 00:00:38.871 -->  00:00:42.735] D SPEAKER_00
[ 00:00:44.187 -->  00:00:45.705] E SPEAKER_00
[ 00:00:47.849 -->  00:00:48.287] F SPEAKER_00
[ 00:00:50.329 -->  00:00:54.885] G SPEAKER_00
[ 00:00:55.577 -->  00:01:05.635] H SPEAKER_00
[ 00:01:03.728 -->  00:01:03.981] ET SPEAKER_01
[ 00:01:06.749 -->  00:01:10.529] I SPEAKER_00
[ 00:01:11.288 -->  00:01:15.878] J SPEAKER_00
[ 00:01:16.890 -->  00:01:17.667] K SPEAKER_00
[ 00:01:18.713 -->  00:01:32.939] L SPEAKER_00
[ 00:01:33.209 -->  00:01:33.512] EU SPEAKER_01
[ 00:01:34.609 -->  00:01:35.014] M SPEAKER_00
[ 00:01:37.124 -->  00:01:37.529] N SPEAKER_00
[ 00:01:38.136 -->  00:01:38.372] O SPEAKER_00
[ 00:01:40.414 -->  00:01:51.164] P SPEAKER_00
[ 00:01:51.990 -->  00:01:53.205] Q SPEAKER_00
[ 00:01:54.015 -->  00:02:00.394] R SPEAKER_00
[ 00:02:00.799 -->  00:02:01.035] EV SPEAKER_01
[ 00:02:03.330 -->  00:02:06.537] S SPEAKER_00
[ 00:02:07.549 -->  00:02:10.553] T SPEAKER_00
[ 00:02:11.211 -->  00:02:19.125] U SPEAKER_00
[ 00:02:20.340 -->  00:02:21.674] V SPEAKER_00
[ 00:02:22.450 -->  00:02:22.872] W SPEAKER_00
[ 00:02:23.918 -->  00:02:26.955] X SPEAKER_00
[ 00:02:28.626 -->  00:02:29.504] Y SPEAKER_00
[ 00:02:31.360 -->  00:02:44.910] Z SPEAKER_00
[ 00:02:45.653 -->  00:02:57.482] AA SPEAKER_00
[ 00:02:58.242 -->  00:03:07.287] AB SPEAKER_00
[ 00:03:01.364 -->  00:03:02.342] EW SPEAKER_01
[ 00:03:08.181 -->  00:03:16.450] AC SPEAKER_00
[ 00:03:16.450 -->  00:03:16.905] EX SPEAKER_01
[ 00:03:17.513 -->  00:03:21.023] AD SPEAKER_00
[ 00:03:20.702 -->  00:03:20.719] EY SPEAKER_01
[ 00:03:21.884 -->  00:03:36.784] AE SPEAKER_00
[ 00:03:37.881 -->  00:03:39.906] AF SPEAKER_00
[ 00:03:41.054 -->  00:03:53.963] AG SPEAKER_00
[ 00:03:55.785 -->  00:03:56.224] AH SPEAKER_00
[ 00:03:58.266 -->  00:04:06.349] AI SPEAKER_00
[ 00:03:58.485 -->  00:04:00.460] EZ SPEAKER_01
[ 00:04:07.800 -->  00:04:12.458] AJ SPEAKER_00
[ 00:04:13.555 -->  00:04:18.955] AK SPEAKER_00
[ 00:04:19.630 -->  00:04:20.018] AL SPEAKER_00
[ 00:04:21.233 -->  00:04:28.658] AM SPEAKER_00
[ 00:04:29.400 -->  00:04:30.092] AN SPEAKER_00
[ 00:04:31.544 -->  00:04:33.569] AO SPEAKER_00
[ 00:04:34.885 -->  00:04:42.698] AP SPEAKER_00
[ 00:04:44.352 -->  00:04:50.747] AQ SPEAKER_00
[ 00:04:52.097 -->  00:04:52.553] AR SPEAKER_00
[ 00:04:53.211 -->  00:04:54.983] AS SPEAKER_00
[ 00:04:56.654 -->  00:05:04.619] AT SPEAKER_00
[ 00:05:05.310 -->  00:05:15.486] AU SPEAKER_00
[ 00:05:16.650 -->  00:05:22.337] AV SPEAKER_00
[ 00:05:18.709 -->  00:05:19.992] FA SPEAKER_01
[ 00:05:23.822 -->  00:05:31.770] AW SPEAKER_00
